año;municipio;barrios de Barcelona;concepto;estado;valor
2017;Barcelona;la Guineueta;Índice socioeconómico territorial;;105,6
2017;Barcelona;Canyelles;Índice socioeconómico territorial;;98,6
2017;Barcelona;les Roquetes;Índice socioeconómico territorial;;78,5
2017;Barcelona;Verdun;Índice socioeconómico territorial;;85,3
2017;Barcelona;la Prosperitat;Índice socioeconómico territorial;;92,3
2017;Barcelona;la Trinitat Nova;Índice socioeconómico territorial;;75,8
2017;Barcelona;Torre Baró;Índice socioeconómico territorial;;73,5
2017;Barcelona;Ciutat Meridiana;Índice socioeconómico territorial;;66,3
2017;Barcelona;Vallbona;Índice socioeconómico territorial;;75,6
2017;Barcelona;la Trinitat Vella;Índice socioeconómico territorial;;73,1
2017;Barcelona;Baró de Viver;Índice socioeconómico territorial;;74,3
2017;Barcelona;el Bon Pastor;Índice socioeconómico territorial;;90,0
2017;Barcelona;Sant Andreu;Índice socioeconómico territorial;;113,1
2017;Barcelona;la Sagrera;Índice socioeconómico territorial;;107,9
2017;Barcelona;el Congrés i els Indians;Índice socioeconómico territorial;;107,2
2017;Barcelona;Navas;Índice socioeconómico territorial;;108,7
2017;Barcelona;el Camp de l'Arpa del Clot;Índice socioeconómico territorial;;110,4
2017;Barcelona;el Clot;Índice socioeconómico territorial;;110,0
2017;Barcelona;el Parc i la Llacuna del Poblenou;Índice socioeconómico territorial;;111,1
2017;Barcelona;la Vila Olímpica del Poblenou;Índice socioeconómico territorial;;128,5
2017;Barcelona;el Poblenou;Índice socioeconómico territorial;;113,4
2017;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;Índice socioeconómico territorial;;117,7
2017;Barcelona;el Besòs i el Maresme;Índice socioeconómico territorial;;77,7
2017;Barcelona;Provençals del Poblenou;Índice socioeconómico territorial;;107,2
2017;Barcelona;Sant Martí de Provençals;Índice socioeconómico territorial;;103,3
2017;Barcelona;la Verneda i la Pau;Índice socioeconómico territorial;;97,0
2017;Barcelona;total;Índice socioeconómico territorial;;108,6
2018;Barcelona;el Raval;Índice socioeconómico territorial;;77,7
2018;Barcelona;el Barri Gòtic;Índice socioeconómico territorial;;90,0
2018;Barcelona;la Barceloneta;Índice socioeconómico territorial;;95,7
2018;Barcelona;Sant Pere, Santa Caterina i la Ribera;Índice socioeconómico territorial;;101,1
2018;Barcelona;el Fort Pienc;Índice socioeconómico territorial;;112,9
2018;Barcelona;la Sagrada Família;Índice socioeconómico territorial;;112,5
2018;Barcelona;la Dreta de l'Eixample;Índice socioeconómico territorial;;123,1
2018;Barcelona;l'Antiga Esquerra de l'Eixample;Índice socioeconómico territorial;;119,4
2018;Barcelona;la Nova Esquerra de l'Eixample;Índice socioeconómico territorial;;117,1
2018;Barcelona;Sant Antoni;Índice socioeconómico territorial;;111,0
2018;Barcelona;el Poble Sec;Índice socioeconómico territorial;;94,7
2018;Barcelona;la Marina del Prat Vermell;Índice socioeconómico territorial;;72,7
2018;Barcelona;la Marina de Port;Índice socioeconómico territorial;;95,4
2018;Barcelona;la Font de la Guatlla;Índice socioeconómico territorial;;107,5
2018;Barcelona;Hostafrancs;Índice socioeconómico territorial;;104,3
2018;Barcelona;la Bordeta;Índice socioeconómico territorial;;107,2
2018;Barcelona;Sants-Badal;Índice socioeconómico territorial;;104,3
2018;Barcelona;Sants;Índice socioeconómico territorial;;109,6
2018;Barcelona;les Corts;Índice socioeconómico territorial;;122,9
2018;Barcelona;la Maternitat i Sant Ramon;Índice socioeconómico territorial;;118,7
2018;Barcelona;Pedralbes;Índice socioeconómico territorial;;130,3
2018;Barcelona;Vallvidrera, el Tibidabo i les Planes;Índice socioeconómico territorial;;120,4
2018;Barcelona;Sarrià;Índice socioeconómico territorial;;130,5
2018;Barcelona;les Tres Torres;Índice socioeconómico territorial;;137,1
2018;Barcelona;Sant Gervasi-la Bonanova;Índice socioeconómico territorial;;130,8
2018;Barcelona;Sant Gervasi-Galvany;Índice socioeconómico territorial;;132,4
2018;Barcelona;el Putxet i el Farró;Índice socioeconómico territorial;;126,9
2018;Barcelona;Vallcarca i els Penitents;Índice socioeconómico territorial;;119,7
2018;Barcelona;el Coll;Índice socioeconómico territorial;;110,5
2018;Barcelona;la Salut;Índice socioeconómico territorial;;118,6
2018;Barcelona;la Vila de Gràcia;Índice socioeconómico territorial;;117,2
2018;Barcelona;el Camp d'en Grassot i Gràcia Nova;Índice socioeconómico territorial;;118,9
2018;Barcelona;el Baix Guinardó;Índice socioeconómico territorial;;113,0
2018;Barcelona;Can Baró;Índice socioeconómico territorial;;107,6
2018;Barcelona;el Guinardó;Índice socioeconómico territorial;;110,5
2018;Barcelona;la Font d'en Fargues;Índice socioeconómico territorial;;119,8
2018;Barcelona;el Carmel;Índice socioeconómico territorial;;93,3
2018;Barcelona;la Teixonera;Índice socioeconómico territorial;;100,4
2018;Barcelona;Sant Genís dels Agudells;Índice socioeconómico territorial;;101,2
2018;Barcelona;Montbau;Índice socioeconómico territorial;;106,7
2018;Barcelona;la Vall d'Hebron;Índice socioeconómico territorial;;116,3
2018;Barcelona;la Clota;Índice socioeconómico territorial;;107,1
2018;Barcelona;Horta;Índice socioeconómico territorial;;106,4
2018;Barcelona;Vilapicina i la Torre Llobeta;Índice socioeconómico territorial;;104,7
2018;Barcelona;Porta;Índice socioeconómico territorial;;96,4
2018;Barcelona;el Turó de la Peira;Índice socioeconómico territorial;;85,5
2018;Barcelona;Can Peguera;Índice socioeconómico territorial;;81,3
2018;Barcelona;la Guineueta;Índice socioeconómico territorial;;104,9
2018;Barcelona;Canyelles;Índice socioeconómico territorial;;98,4
2018;Barcelona;les Roquetes;Índice socioeconómico territorial;;78,0
2018;Barcelona;Verdun;Índice socioeconómico territorial;;84,9
